a,tau(a),M2(tau),S(tau),alpha,muB,muB/a,kappa_A
0.5,5.677609756179725,0.012499999999999999,0.00928410444632956,0.6,0.5108256237659907,1.0216512475319814,0.85
0.25,5.4644093239239995,0.016666666666666666,0.012338367303306659,0.8,0.2231435513142097,0.8925742052568388,0.8
0.125,5.3773561571885695,0.01875,0.013857959179305084,0.9,0.10536051565782628,0.8428841252626103,0.775
