a,tau(a),M2(tau),S(tau),alpha,muB,muB/a,kappa_A
0.5,3.6393164474274475,0.012499999999999999,0.0062111637916807795,0.6,0.5108256237659907,1.0216512475319814,0.85
0.25,3.4965110554913332,0.016666666666666666,0.008264424415052981,0.8,0.2231435513142097,0.8925742052568388,0.8
0.125,3.438136715900202,0.01875,0.009287871254523102,0.9,0.10536051565782628,0.8428841252626103,0.775
