Lambda,f2,r_int,G,f0,c_g,g2
1.0,0.5,4,1.1780972450961724,0.5,3.0,78.95683520871486
1.0,0.5,4,1.1780972450961724,1.0,0.5,236.8705056261446
1.0,0.5,4,1.1780972450961724,1.0,1.0,118.4352528130723
1.0,0.5,4,1.1780972450961724,1.0,3.0,39.47841760435743
1.0,0.5,4,1.1780972450961724,2.0,0.5,118.4352528130723
1.0,0.5,4,1.1780972450961724,2.0,1.0,59.21762640653615
1.0,0.5,4,1.1780972450961724,2.0,3.0,19.739208802178716
1.0,1.0,1,2.356194490192345,0.5,0.5,473.7410112522892
1.0,1.0,1,2.356194490192345,0.5,1.0,236.8705056261446
1.0,1.0,1,2.356194490192345,0.5,3.0,78.95683520871486
1.0,1.0,1,2.356194490192345,1.0,0.5,236.8705056261446
1.0,1.0,1,2.356194490192345,1.0,1.0,118.4352528130723
1.0,1.0,1,2.356194490192345,1.0,3.0,39.47841760435743
1.0,1.0,1,2.356194490192345,2.0,0.5,118.4352528130723
1.0,1.0,1,2.356194490192345,2.0,1.0,59.21762640653615
1.0,1.0,1,2.356194490192345,2.0,3.0,19.739208802178716
1.0,1.0,2,1.1780972450961724,0.5,0.5,473.7410112522892
1.0,1.0,2,1.1780972450961724,0.5,1.0,236.8705056261446
1.0,1.0,2,1.1780972450961724,0.5,3.0,78.95683520871486
1.0,1.0,2,1.1780972450961724,1.0,0.5,236.8705056261446
1.0,1.0,2,1.1780972450961724,1.0,1.0,118.4352528130723
1.0,1.0,2,1.1780972450961724,1.0,3.0,39.47841760435743
1.0,1.0,2,1.1780972450961724,2.0,0.5,118.4352528130723
1.0,1.0,2,1.1780972450961724,2.0,1.0,59.21762640653615
1.0,1.0,2,1.1780972450961724,2.0,3.0,19.739208802178716
1.0,1.0,4,0.5890486225480862,0.5,0.5,473.7410112522892
1.0,1.0,4,0.5890486225480862,0.5,1.0,236.8705056261446
1.0,1.0,4,0.5890486225480862,0.5,3.0,78.95683520871486
1.0,1.0,4,0.5890486225480862,1.0,0.5,236.8705056261446
1.0,1.0,4,0.5890486225480862,1.0,1.0,118.4352528130723
1.0,1.0,4,0.5890486225480862,1.0,3.0,39.47841760435743
1.0,1.0,4,0.5890486225480862,2.0,0.5,118.4352528130723
1.0,1.0,4,0.5890486225480862,2.0,1.0,59.21762640653615
1.0,1.0,4,0.5890486225480862,2.0,3.0,19.739208802178716
2.0,0.25,1,2.356194490192345,0.5,0.5,473.7410112522892
2.0,0.25,1,2.356194490192345,0.5,1.0,236.8705056261446
2.0,0.25,1,2.356194490192345,0.5,3.0,78.95683520871486
2.0,0.25,1,2.356194490192345,1.0,0.5,236.8705056261446
2.0,0.25,1,2.356194490192345,1.0,1.0,118.4352528130723
2.0,0.25,1,2.356194490192345,1.0,3.0,39.47841760435743
2.0,0.25,1,2.356194490192345,2.0,0.5,118.4352528130723
2.0,0.25,1,2.356194490192345,2.0,1.0,59.21762640653615
2.0,0.25,1,2.356194490192345,2.0,3.0,19.739208802178716
2.0,0.25,2,1.1780972450961724,0.5,0.5,473.7410112522892
2.0,0.25,2,1.1780972450961724,0.5,1.0,236.8705056261446
2.0,0.25,2,1.1780972450961724,0.5,3.0,78.95683520871486
2.0,0.25,2,1.1780972450961724,1.0,0.5,236.8705056261446
2.0,0.25,2,1.1780972450961724,1.0,1.0,118.4352528130723
2.0,0.25,2,1.1780972450961724,1.0,3.0,39.47841760435743
2.0,0.25,2,1.1780972450961724,2.0,0.5,118.4352528130723
2.0,0.25,2,1.1780972450961724,2.0,1.0,59.21762640653615
2.0,0.25,2,1.1780972450961724,2.0,3.0,19.739208802178716
